user_id,book_id,rating,title,authors,original_publication_year,rating_normalized,user_id_encoded,book_id_encoded
46340,488,2,The Green Mile,Stephen King,1996.0,0.25,19786,487
11090,1064,3,The Woman in White,"Wilkie Collins, Matthew Sweet",1859.0,0.5,5046,1055
32283,5680,4,Kill Me If You Can,"James Patterson, Marshall Karp",2011.0,0.75,14073,4843
6551,3642,1,Moll Flanders,Daniel Defoe,1722.0,0.0,2991,3383
36741,96,2,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012.0,0.25,15888,95
41477,304,5,I Know This Much Is True,Wally Lamb,1998.0,1.0,17840,303
24274,8,3,The Catcher in the Rye,J.D. Salinger,1951.0,0.5,10779,7
7156,142,1,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,1989.0,0.0,3254,141
40231,251,4,The Cat in the Hat,Dr. Seuss,1957.0,0.75,17315,250
18071,5556,4,The Sea,John Banville,2005.0,0.75,8138,4763
21175,2258,5,"The Last Wish (The Witcher, #1)",Andrzej Sapkowski,1993.0,1.0,9472,2200
48795,1690,3,"Ghost Story (The Dresden Files,  #13)",Jim Butcher,2011.0,0.5,20748,1667
36152,3066,2,"Four Blind Mice (Alex Cross, #8)",James Patterson,2002.0,0.25,15636,2903
10419,4616,5,"The Third Victim (Quincy & Rainie, #2)",Lisa Gardner,2001.0,1.0,4733,4121
43856,403,3,The Art of War,"Sun Tzu, Thomas Cleary",-500.0,0.5,18807,402
37870,6736,2,Collected Poems,Dylan Thomas,1952.0,0.25,16367,5491
33948,762,5,Schindler's List,Thomas Keneally,1982.0,1.0,14736,758
6194,1071,1,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,1995.0,0.0,2838,1062
15592,6245,3,The Princess Diarist,Carrie Fisher,2016.0,0.5,7042,5203
32338,298,3,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,0.5,14089,297
32527,617,4,Orange Is the New Black,Piper Kerman,2010.0,0.75,14157,614
48585,170,4,Digital Fortress,Dan Brown,1998.0,0.75,20675,169
